Requirement ID,Section,Category,Entity,Product,State,Business Requirement,Data Element,Validation Rule,Eligibility Rule,Underwriting Rule,Coverage Association,Forms Association,Transaction Applicability,State Variance,Source Requirement,Traceability Reference,Status,Effective Date,Owner
POL-VAL-001,Policy Requirements,Validation,Policy,Personal Auto,All,Policy Effective Date is required,EffectiveDate,Required Field Validation,Policy Completeness,Policy Structure Validation,,Policy Jacket,"Quote, New Business, Bind, Issue, Endorsement, Renewal",No,Section 6.2.3,Policy Header Requirements,APPROVED,2026-08-19,Product Owner
POL-VAL-002,Policy Requirements,Validation,Policy,Personal Auto,All,Policy State is required,State,Required Field Validation,State Validation,State Compliance Validation,,Policy Jacket,"Quote, New Business, Bind, Issue, Endorsement, Renewal",No,Section 6.2.3,Policy Header Requirements,APPROVED,2026-08-19,Product Owner
POL-VAL-003,Policy Requirements,Validation,Policy,Personal Auto,All,Product is required,Product,Required Field Validation,Product Validation,Product Availability Validation,,Policy Jacket,"Quote, New Business, Bind, Issue",No,Section 6.2.3,Policy Header Requirements,APPROVED,2026-08-19,Product Owner
POL-VAL-004,Policy Requirements,Validation,Policy,Personal Auto,All,Policy Expiration Date is required,ExpirationDate,Required Field Validation,Policy Completeness,Policy Structure Validation,,Policy Jacket,"Quote, New Business, Bind, Issue, Renewal",No,Section 6.2.3,Policy Header Requirements,APPROVED,2026-08-19,Product Owner
POL-VAL-005,Policy Requirements,Validation,Policy,Personal Auto,All,Expiration Date must be greater than Effective Date,EffectiveDate; ExpirationDate,Date Range Validation,Policy Term Validation,Policy Structure Validation,,Policy Jacket,"Quote, New Business, Bind, Issue",No,Section 6.2.3,Policy Header Requirements,APPROVED,2026-08-19,Product Owner
POL-TERM-001,Policy Requirements,Business Rule,Policy,Personal Auto,All,Every policy shall contain one active policy term,PolicyTermVersion,Policy Term Validation,Policy Term Completeness,Policy Structure Compliance,,Policy Jacket,"New Business, Bind, Issue, Renewal",No,Section 6.3.3,Policy Term Requirements,APPROVED,2026-08-19,Product Owner
POL-TERM-002,Policy Requirements,Business Rule,Policy,Personal Auto,All,Policy term dates shall be maintained throughout the policy lifecycle,EffectiveDate; ExpirationDate,Policy Term Date Validation,Policy Term Integrity,Policy History Maintenance,,Policy Jacket,"All Transactions",No,Section 6.3.3,Policy Term Requirements,APPROVED,2026-08-19,Product Owner
POL-TERM-003,Policy Requirements,Business Rule,Policy,Personal Auto,All,Transactions shall be associated with a specific policy term,PolicyTermVersion,Transaction Association Validation,Transaction Applicability,Transaction Processing Logic,,All Forms,"All Transactions",No,Section 6.3.3,Policy Term Requirements,APPROVED,2026-08-19,Product Owner
POL-STS-001,Policy Requirements,Business Rule,Policy,Personal Auto,All,Every policy shall have one current status,PolicyStatus,Status Validation,Policy Status Integrity,Policy Lifecycle Management,,Policy Jacket,"All Transactions",No,Section 6.4.3,Policy Status Requirements,APPROVED,2026-08-19,Product Owner
POL-STS-002,Policy Requirements,Business Rule,Policy,Personal Auto,All,Status changes shall be transaction-driven,PolicyStatus,Status Change Validation,Transaction Completeness,Policy State Machine Enforcement,,Policy Jacket,"All Transactions",No,Section 6.4.3,Policy Status Requirements,APPROVED,2026-08-19,Product Owner
POL-STS-003,Policy Requirements,Business Rule,Policy,Personal Auto,All,Status changes shall be recorded in policy history,PolicyStatus,Status Change Audit,Transaction Traceability,Audit Trail Maintenance,,Policy Jacket,"All Transactions",No,Section 6.4.3,Policy Status Requirements,APPROVED,2026-08-19,Product Owner
POL-EFF-001,Policy Requirements,Business Rule,Policy,Personal Auto,All,Every policy shall contain an effective date,EffectiveDate,Required Field Validation,Policy Completeness,Policy Structure Compliance,,Policy Jacket,"Quote, New Business, Bind, Issue",No,Section 6.5.3,Policy Effective Dating Requirements,APPROVED,2026-08-19,Product Owner
